name,school,sex,prorank,url,picUrl
方俊,通信抗干扰国家级重点实验室,男,教授,http://faculty.uestc.edu.cn/fangjun/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/9D/93/462AF681698D61050D038F57CAB_E498E35D_CC1B.png
张蔺,通信抗干扰国家级重点实验室,男,副教授,http://faculty.uestc.edu.cn/zhanglin123/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/E/39/9B/57A0AAD19CB85B18343DDFFFEF8_894C2356_17F70.png
张忠培,通信抗干扰国家级重点实验室,男,教授,http://faculty.uestc.edu.cn/zhangzhongpei/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/C/93/10/5D5A2438152819A12D54B743AA1_4CCB1385_AD87.jpg
常博,通信抗干扰国家级重点实验室,男,讲师,http://faculty.uestc.edu.cn/changbo1/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/76/49/FFAC9D82CA8F0BE9DF098315B76_AD7B59BA_175E8.png
唐万斌,通信抗干扰国家级重点实验室,男,研究员,http://faculty.uestc.edu.cn/tangwanbin/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/1/87/2E/83BE3B61562503644B44DC20B30_74C4CDE0_4139.jpg
周志恒,通信抗干扰国家级重点实验室,男,副教授,http://faculty.uestc.edu.cn/zhouzhiheng/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/0/92/B8/AC07F5EB387A3D30D5FC1D38C4F_C228B43E_19816.png
吴廷勇,通信抗干扰国家级重点实验室,男,研究员,http://faculty.uestc.edu.cn/wutingyong/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/4/FC/AE/220D34557B1C8E713945DC0A475_4649CC91_1D988.png
史治平,通信抗干扰国家级重点实验室,女,教授,http://faculty.uestc.edu.cn/shizhiping/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/D/38/9F/C44BDBD4253DA7ADA8A30A4D3F1_FF170975_357DA.jpg
刘颖,通信抗干扰国家级重点实验室,男,副教授,http://faculty.uestc.edu.cn/yliu85/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/04/57/5E65C58AFD8E3BC894A5E3776BE_FE7F62D3_152BA2.jpg
刘皓,通信抗干扰国家级重点实验室,男,研究员,http://faculty.uestc.edu.cn/liuhao/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/2/41/9D/63474C0762DC063BC3C5BDAE569_E7445259_1C73.jpg
凌翔,通信抗干扰国家级重点实验室,男,教授,http://faculty.uestc.edu.cn/lingxiang/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/8/E4/74/EFA204B3170C00B1A2A2E47D97C_20B8E3FF_19E18.jpg
何奇,通信抗干扰国家级重点实验室,男,副研究员,http://faculty.uestc.edu.cn/heqi/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/B/DB/7D/59AE7DD600C74568DFD1EEA3C02_CEB99AAA_1CA8B.png
黄明,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/Huang_Lab/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/B4/8B/1EBE48B4401EBA7B5EB6F3AA221_522EF0A1_1F0C9.png
高阳,基础与前沿研究院,男,副研究员,http://faculty.uestc.edu.cn/gaoyang12/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/1/5E/88/A23807EFAF4F0108784CBE2800E_561D9A3B_19ED5.png
邓光伟,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/dengguangwei/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/A/EA/35/9702D60389C5A9760E2138A5498_CFF16D7B_1B381.png
赵坤,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/zhaokun/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/C/19/5F/AFD3C028204D1C12B3A30220EDF_07DC4689_219C2.png
董帆,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/dongfan/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/6/A1/AB/6E61FDAB5ADF08397A01724F472_958D5FDF_ABA9.jpg
王曾晖,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/wang/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/B/AC/E3/283D0E28B9E68FCB0AD75CC267C_B53DE667_4BBC.jpg
王晓霆,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/wangxiaoting1/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/C/0E/17/B22210A2DD6673482EBCE861C7B_778796F0_25828.png
王斌,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/wangbin123/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/9/17/92/F50178BB7D4BA94F5635B31EB4D_44C3D771_34214.png
王志明,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/wangzhiming1/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/0/EC/AF/DF4003D7AC9EB2F350A34AFB931_F9752944_AA50.png
王德辉,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/wangdehui/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/1/DC/78/865CD859617B0A7CA3A23931520_D91A5EF2_192B6.png
潘亮,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/panliang/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/4/BC/57/588C673E1AE5B96E40A7C9EE587_00BBE8BC_22A35.png
李严波,基础与前沿研究院,男,教授,http://faculty.uestc.edu.cn/liyanbo/zh_CN/index.htm,https://faculty.uestc.edu.cn/__local/7/19/D9/D0E76449DB31F3069B244FDEF18_523A43A0_1CB7C.png
